0.010534,0.61896,0.013802
0.010955,0.60275,0.012082
0.011393,0.60123,0.010658
0.011848,0.60843,0.009446
0.012321,0.61706,0.0085802
0.012813,0.61823,0.0076548
0.013325,0.61233,0.0068047
0.013858,0.61348,0.0061594
0.014411,0.62814,0.0056765
0.014987,0.62894,0.0051048
0.015586,0.62736,0.0046642
0.016208,0.62764,0.0043018
0.016856,0.60641,0.0038805
0.017529,0.42735,0.0038164
0.018229,0.13377,0.0019455
0.018958,0.063657,0.0010586
0.019715,0.037477,0.00070635
0.020503,0.023111,0.00050177
0.021322,0.013805,0.00035635
0.022173,0.0084129,0.0002549
0.023059,0.0053244,0.00019184
0.023981,0.003147,0.00013634
0.024939,0.0024915,0.00011319
0.025935,0.0017091,8.7313e-05
0.026971,0.0013611,7.3363e-05
0.028048,0.001243,6.5588e-05
0.029169,0.00098895,5.4873e-05
0.030334,0.00099879,5.1998e-05
0.031546,0.0010907,5.1174e-05
0.032806,0.0011528,4.9625e-05
0.034117,0.0011289,4.6806e-05
0.03548,0.0011672,3.511e-05
0.036897,0.0010777,3.1777e-05
0.038371,0.0010742,3.0156e-05
0.039904,0.0009847,2.7365e-05
0.041498,0.00093655,2.5567e-05
0.043156,0.00090251,2.4087e-05
0.04488,0.00076456,2.1013e-05
0.046673,0.00066959,1.861e-05
0.048537,0.00059138,1.659e-05
0.050476,0.00048119,1.4249e-05
0.052493,0.00038704,1.2087e-05
0.05459,0.00031042,1.0217e-05
0.056771,0.00024872,8.6174e-06
0.059039,0.0002043,7.3786e-06
0.061397,0.00014802,5.9184e-06
0.06385,0.00011632,4.9631e-06
0.066401,0.00011513,4.7095e-06
0.069053,0.00011715,4.5523e-06
0.071812,0.0001272,4.5558e-06
0.074681,0.00013924,4.6086e-06
0.077664,0.00016101,4.8249e-06
0.080767,0.0001723,4.8637e-06
0.083993,0.00017617,4.755e-06
0.087349,0.00018859,4.8029e-06
0.090838,0.00019029,4.6705e-06
0.094467,0.00018783,4.4893e-06
0.098241,0.00016735,4.0586e-06
0.10217,0.00016202,3.861e-06
0.10625,0.00014347,3.4724e-06
0.11049,0.00010428,2.7121e-06
0.11491,6.8353e-05,2.0217e-06
0.1195,4.8084e-05,1.6053e-06
0.12427,3.1165e-05,1.2328e-06
0.12923,1.9581e-05,9.3155e-07
0.1344,1.2717e-05,7.1613e-07
0.13977,7.9525e-06,5.4321e-07
0.14535,6.4673e-06,4.7675e-07
0.15116,5.6968e-06,4.3831e-07
0.15719,4.4515e-06,3.791e-07
0.16347,4.2157e-06,3.6368e-07
0.17,3.4803e-06,3.2627e-07
0.1768,4.2372e-06,3.629e-07
0.18386,3.5159e-06,3.2925e-07
0.1912,3.6532e-06,3.3833e-07
0.19884,3.5949e-06,3.426e-07
0.20679,2.6681e-06,3.1047e-07
0.21505,3.8271e-06,4.0062e-07
0.22364,2.6189e-06,3.5789e-07
0.23257,2.2705e-06,3.5857e-07
0.24186,2.1126e-06,3.7024e-07
0.25152,2.3707e-06,4.188e-07
0.26157,1.9165e-06,3.9698e-07
0.27202,2.0472e-06,4.3904e-07
0.28289,1.5284e-06,4.0215e-07
0.29421,2.2118e-06,5.0555e-07
